epoch,MaP,MaP@[IoU=50],MaP@[IoU=75],MaP@[area=large],MaP@[area=medium],MaP@[area=small],Recall@[area=large],Recall@[area=medium],Recall@[area=small],Recall@[max_detections=100],Recall@[max_detections=10],Recall@[max_detections=1],box_loss,class_loss,loss,val_box_loss,val_class_loss,val_loss
0,1.0515233952901326e-05,6.214010500116274e-05,0.0,0.00017948179447557777,0.0,0.0,0.1111111119389534,0.0,0.0,0.0052083334885537624,0.0,0.0,3.3537063598632812,156.2402801513672,159.59408569335938,4.742685317993164,200.4830780029297,205.22576904296875
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5544848442077637,31.759342193603516,34.31382369995117,4.211667060852051,19.7463321685791,23.957992553710938
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0291991233825684,5.022659778594971,7.051859378814697,4.370265483856201,4.819811820983887,9.190077781677246
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7915490865707397,1.4981755018234253,3.2897233963012695,4.267293930053711,2.71455454826355,6.981851577758789
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.487622857093811,0.7524501085281372,2.2400734424591064,4.462363243103027,2.1791486740112305,6.6415114402771
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2982841730117798,0.523779571056366,1.8220632076263428,3.9415926933288574,1.8147200345993042,5.756312370300293
6,0.6133207678794861,0.9595611691474915,0.686953067779541,0.5514211654663086,0.7877081036567688,0.45559626817703247,0.644444465637207,0.821739137172699,0.48241758346557617,0.6526041626930237,0.6526041626930237,0.10572917014360428,1.1500316858291626,0.4233105778694153,1.5733423233032227,1.5157523155212402,0.5035160779953003,2.019268274307251
7,0.7708178162574768,1.0,0.9561861157417297,0.6258415579795837,0.8160326480865479,0.7398677468299866,0.6333333253860474,0.8402174115180969,0.7802197933197021,0.8020833134651184,0.8020833134651184,0.10989583283662796,1.0311740636825562,0.36228954792022705,1.393464207649231,1.0586949586868286,0.3515290319919586,1.4102239608764648
8,0.7147760391235352,1.0,0.8603917360305786,0.5495049357414246,0.8227047920227051,0.6444609761238098,0.5777778029441833,0.843478262424469,0.7208791375160217,0.7729166746139526,0.7729166746139526,0.09218750149011612,0.9781046509742737,0.3297947645187378,1.3078991174697876,1.0569920539855957,0.3733518719673157,1.4303439855575562
9,0.7992681264877319,1.0,0.9860767126083374,0.6738613843917847,0.859042227268219,0.7596254348754883,0.6888889074325562,0.886956512928009,0.8109890222549438,0.8416666388511658,0.8416666388511658,0.10312499850988388,0.9367389678955078,0.30945828557014465,1.2461971044540405,0.8438242077827454,0.3008999526500702,1.1447241306304932
10,0.808312177658081,1.0,0.9551560282707214,0.7587733864784241,0.8541842103004456,0.7713528275489807,0.7888888716697693,0.886956512928009,0.800000011920929,0.8411458134651184,0.8411458134651184,0.10729166865348816,0.8532755374908447,0.28345417976379395,1.1367298364639282,0.8256216049194336,0.29577523469924927,1.121396780014038
11,0.775231659412384,0.9998974204063416,0.9443666934967041,0.6217821836471558,0.8221632242202759,0.7410136461257935,0.6222222447395325,0.855434775352478,0.7758241891860962,0.8067708611488342,0.8067708611488342,0.10729166865348816,0.8316590785980225,0.2711135447025299,1.1027730703353882,0.9269973635673523,0.29086190462112427,1.2178595066070557
12,0.8063570857048035,1.0,0.9466919898986816,0.6599835157394409,0.8519429564476013,0.780317485332489,0.6777777671813965,0.8804348111152649,0.8087912201881409,0.8369791507720947,0.8369791507720947,0.10781250149011612,0.8253573179244995,0.26479122042655945,1.0901485681533813,0.8553171753883362,0.2787398397922516,1.1340571641921997
