epoch,MaP,MaP@[IoU=50],MaP@[IoU=75],MaP@[area=large],MaP@[area=medium],MaP@[area=small],Recall@[area=large],Recall@[area=medium],Recall@[area=small],Recall@[max_detections=100],Recall@[max_detections=10],Recall@[max_detections=1],box_loss,class_loss,loss,val_box_loss,val_class_loss,val_loss
26,0.8480516672134399,1.0,1.0,0.8465031981468201,0.8775003552436829,0.822071373462677,0.855555534362793,0.89673912525177,0.8703296780586243,0.8822916746139526,0.8822916746139526,0.11927083134651184,0.565496563911438,0.1971963495016098,0.7626926898956299,0.6138014197349548,0.19770583510398865,0.8115071654319763
27,0.9109663963317871,1.0,1.0,0.8199669718742371,0.9418246746063232,0.8890948295593262,0.8222222328186035,0.95652174949646,0.906593382358551,0.926562488079071,0.926562488079071,0.12447916716337204,0.5711295008659363,0.19664263725280762,0.7677721381187439,0.5438679456710815,0.1926262378692627,0.736494243144989
28,0.8730306625366211,1.0,1.0,0.7298522591590881,0.8858901262283325,0.8792628645896912,0.7666666507720947,0.9021739363670349,0.8999999761581421,0.8947916626930237,0.8947916626930237,0.11927083134651184,0.563299834728241,0.19286854565143585,0.7561683058738708,0.6017385721206665,0.19468079507350922,0.7964195609092712
29,0.8968320488929749,1.0,1.0,0.7763366103172302,0.9363802671432495,0.8723028898239136,0.800000011920929,0.949999988079071,0.8912087678909302,0.9151041507720947,0.9151041507720947,0.12135417014360428,0.5335364937782288,0.18777437508106232,0.7213108539581299,0.5345959067344666,0.18579621613025665,0.7203920483589172
30,0.8814048767089844,1.0,1.0,0.8030803203582764,0.9297001957893372,0.8491391539573669,0.8333333134651184,0.939130425453186,0.8769230842590332,0.9046875238418579,0.9046875238418579,0.12395833432674408,0.5280864834785461,0.18502868711948395,0.7131150364875793,0.5981213450431824,0.18943946063518524,0.7875607013702393
31,0.8345896005630493,1.0,0.9799379706382751,0.6193234324455261,0.8663490414619446,0.8303351402282715,0.644444465637207,0.886956512928009,0.8626373410224915,0.864062488079071,0.864062488079071,0.11874999850988388,0.5532705187797546,0.18832291662693024,0.7415935397148132,0.6463844776153564,0.19578878581523895,0.8421733379364014
32,0.8915589451789856,1.0,1.0,0.8147634863853455,0.8811955451965332,0.9149125814437866,0.8222222328186035,0.895652174949646,0.9307692050933838,0.9088541865348816,0.9088541865348816,0.11562500149011612,0.5328721404075623,0.1809273213148117,0.7137994170188904,0.5781723260879517,0.19062957167625427,0.7688018679618835
33,0.8349090218544006,1.0,0.9883456826210022,0.6745874881744385,0.8546276688575745,0.8367264270782471,0.6777777671813965,0.89673912525177,0.8582417368888855,0.8682291507720947,0.8682291507720947,0.11354167014360428,0.5295186042785645,0.1802525669336319,0.7097710371017456,0.7165438532829285,0.2126203030347824,0.9291639924049377
34,0.8703214526176453,1.0,1.0,0.8245049715042114,0.888578474521637,0.863374650478363,0.8333333134651184,0.908695638179779,0.8736263513565063,0.8885416388511658,0.8885416388511658,0.11249999701976776,0.5309762358665466,0.177940234541893,0.7089163064956665,0.634932279586792,0.19692718982696533,0.8318595886230469
35,0.8606746792793274,1.0,1.0,0.8715543150901794,0.8942473530769348,0.8424422144889832,0.8888888955116272,0.916304349899292,0.8846153616905212,0.8999999761581421,0.8999999761581421,0.10833333432674408,0.5222811102867126,0.1789662390947342,0.7012472748756409,0.645183801651001,0.20703977346420288,0.852223813533783
36,0.9043335914611816,1.0,1.0,0.8853213787078857,0.8899250626564026,0.9249470233917236,0.8999999761581421,0.9119565486907959,0.9406593441963196,0.925000011920929,0.925000011920929,0.12083332985639572,0.5382909178733826,0.18029886484146118,0.7185896039009094,0.529944121837616,0.1857782006263733,0.7157222032546997
37,0.8593500852584839,1.0,0.9578153491020203,0.48712870478630066,0.861428439617157,0.9012181758880615,0.5111111402511597,0.8804348111152649,0.910988986492157,0.8776041865348816,0.8776041865348816,0.12187500298023224,0.515730082988739,0.17719270288944244,0.6929226517677307,0.6538323760032654,0.20115311443805695,0.854985773563385
38,0.9026910662651062,1.0,1.0,0.7972497344017029,0.9669814109802246,0.8497158885002136,0.8333333134651184,0.97826087474823,0.8714285492897034,0.9208333492279053,0.9208333492279053,0.12447916716337204,0.49884170293807983,0.17065291106700897,0.6694945693016052,0.5519134998321533,0.17984265089035034,0.7317561507225037
39,0.9277797937393188,1.0,1.0,0.8705445528030396,0.9711906313896179,0.8929089307785034,0.8888888955116272,0.979347825050354,0.8999999761581421,0.9375,0.9375,0.12395833432674408,0.4879237413406372,0.16823339462280273,0.6561571955680847,0.45725271105766296,0.16332688927650452,0.6205795407295227
40,0.8930814266204834,1.0,1.0,0.7832657694816589,0.9443987011909485,0.850858211517334,0.800000011920929,0.9510869383811951,0.8714285492897034,0.90625,0.90625,0.12395833432674408,0.48753300309181213,0.16669586300849915,0.6542291045188904,0.5421628355979919,0.16920103132724762,0.7113639712333679
41,0.9276013374328613,1.0,1.0,0.8112211227416992,0.9316123723983765,0.9359928965568542,0.8333333134651184,0.95652174949646,0.9472527503967285,0.9463541507720947,0.9463541507720947,0.12135417014360428,0.49638956785202026,0.16618165373802185,0.662571132183075,0.46729859709739685,0.15910986065864563,0.6264084577560425
42,0.9003134965896606,1.0,1.0,0.8044004440307617,0.9142470955848694,0.8975006937980652,0.8333333134651184,0.935869574546814,0.9120879173278809,0.9197916388511658,0.9197916388511658,0.11874999850988388,0.4765925705432892,0.16239342093467712,0.6389860510826111,0.5515390038490295,0.17218683660030365,0.7237257361412048
43,0.930949330329895,1.0,1.0,0.7712871432304382,0.9726778268814087,0.9051914215087891,0.8111110925674438,0.97826087474823,0.9120879173278809,0.9390624761581421,0.9390624761581421,0.12447916716337204,0.49577876925468445,0.16486084461212158,0.6606395840644836,0.4648328721523285,0.15686582028865814,0.6216984987258911
44,0.9005445837974548,1.0,1.0,0.9400715231895447,0.9124231934547424,0.8988675475120544,0.9555555582046509,0.935869574546814,0.9186813235282898,0.9286458492279053,0.9286458492279053,0.1171875,0.47335514426231384,0.16294975578784943,0.636305034160614,0.5181779861450195,0.16967608034610748,0.6878541111946106
45,0.8575994968414307,1.0,1.0,0.8820682168006897,0.8679506778717041,0.8557960987091064,0.8888888955116272,0.8902173638343811,0.8747252821922302,0.8828125,0.8828125,0.11406250298023224,0.490913450717926,0.16434326767921448,0.6552566289901733,0.6380850672721863,0.18368315696716309,0.8217681646347046
46,0.9123216271400452,1.0,1.0,0.8127581477165222,0.9377487301826477,0.8994883894920349,0.8222222328186035,0.95652174949646,0.9219779968261719,0.9338541626930237,0.9338541626930237,0.12031249701976776,0.4812544882297516,0.16145196557044983,0.6427064538002014,0.5155335664749146,0.17587459087371826,0.6914083361625671
47,0.9265832901000977,1.0,1.0,0.8227722644805908,0.9353805780410767,0.9283525943756104,0.8222222328186035,0.9521738886833191,0.9329670071601868,0.9369791746139526,0.9369791746139526,0.12343750149011612,0.4608207643032074,0.1596970409154892,0.620517909526825,0.5091649889945984,0.16462184488773346,0.6737866997718811
48,0.8454278111457825,1.0,0.9701922535896301,0.5860148668289185,0.8492782115936279,0.8848304748535156,0.5888888835906982,0.8695651888847351,0.9021977782249451,0.871874988079071,0.871874988079071,0.10989583283662796,0.4590844213962555,0.15705356001853943,0.6161379814147949,0.6619144678115845,0.1922914832830429,0.8542063236236572
49,0.9281482696533203,1.0,1.0,0.8546204566955566,0.9558097720146179,0.912519097328186,0.8888888955116272,0.9630434513092041,0.9307692050933838,0.9442708492279053,0.9442708492279053,0.12343750149011612,0.45745792984962463,0.15543004870414734,0.6128880381584167,0.46154409646987915,0.15568052232265472,0.6172247529029846
