epoch,MaP,MaP@[IoU=50],MaP@[IoU=75],MaP@[area=large],MaP@[area=medium],MaP@[area=small],Recall@[area=large],Recall@[area=medium],Recall@[area=small],Recall@[max_detections=100],Recall@[max_detections=10],Recall@[max_detections=1],box_loss,class_loss,loss,val_box_loss,val_class_loss,val_loss
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.148003578186035,131.2604522705078,134.40843200683594,5.332879543304443,88.2390365600586,93.57192993164062
1,0.019992927089333534,0.07499890774488449,0.003804321400821209,0.0,0.028609152883291245,0.026221774518489838,0.0,0.08913043141365051,0.17472527921199799,0.12552084028720856,0.06145833432674408,0.006770833395421505,2.1631574630737305,12.428434371948242,14.591591835021973,2.375898838043213,6.122069358825684,8.497970581054688
2,0.544625461101532,0.9604460597038269,0.5458776950836182,0.2772277295589447,0.5657537579536438,0.5581640005111694,0.2777777910232544,0.6184782385826111,0.605494499206543,0.5963541865348816,0.5916666388511658,0.08906249701976776,1.704067349433899,2.2526304721832275,3.9566988945007324,1.4587711095809937,1.262986660003662,2.721757173538208
3,0.6477841138839722,0.9795695543289185,0.7444242238998413,0.3397139608860016,0.6722314953804016,0.6628528237342834,0.36666667461395264,0.699999988079071,0.6857143044471741,0.6776041388511658,0.6776041388511658,0.09843750298023224,1.3012402057647705,1.022331714630127,2.3235721588134766,1.4283459186553955,0.9492495656013489,2.3775954246520996
4,0.7157196402549744,1.0,0.9777881503105164,0.7569857239723206,0.761726438999176,0.6906800866127014,0.8111110925674438,0.791304349899292,0.7307692170143127,0.7635416388511658,0.7635416388511658,0.08906249701976776,1.1591960191726685,0.7009879350662231,1.8601840734481812,1.061041235923767,0.6938759088516235,1.7549173831939697
5,0.710478663444519,0.9966568350791931,0.8598238825798035,0.5916100740432739,0.7663485407829285,0.6924574375152588,0.7222222089767456,0.8086956739425659,0.7428571581840515,0.7734375,0.7734375,0.10885416716337204,0.9737845659255981,0.5392245054244995,1.5130093097686768,1.074422001838684,0.5466439723968506,1.6210663318634033
6,0.799295961856842,0.9997947812080383,0.9316167831420898,0.7476485371589661,0.8358743786811829,0.7754907608032227,0.7777777910232544,0.864130437374115,0.7989010810852051,0.8291666507720947,0.8291666507720947,0.1119791641831398,0.9094042181968689,0.4430898129940033,1.3524938821792603,0.9017322063446045,0.4241010248661041,1.3258333206176758
7,0.8196351528167725,0.9995885491371155,0.9951456189155579,0.7084708213806152,0.849180281162262,0.8135325908660889,0.7111111283302307,0.876086950302124,0.8439560532569885,0.8531249761581421,0.8531249761581421,0.11614583432674408,0.8662721514701843,0.3897108733654022,1.255982756614685,0.7967821359634399,0.3668471872806549,1.1636289358139038
8,0.7666789889335632,0.999846339225769,0.9466208219528198,0.5518151521682739,0.83554607629776,0.7331379652023315,0.5777778029441833,0.8586956262588501,0.7857142686843872,0.8109375238418579,0.8109375238418579,0.1015625,0.8203557133674622,0.34586718678474426,1.1662228107452393,0.8998320698738098,0.41298314929008484,1.3128150701522827
9,0.8483997583389282,1.0,0.9900990128517151,0.6503795385360718,0.8798009157180786,0.8457229137420654,0.6888889074325562,0.8891304135322571,0.8615384697914124,0.8666666746139526,0.8666666746139526,0.1223958358168602,0.7739461064338684,0.31964725255966187,1.0935935974121094,0.7562825679779053,0.30762019753456116,1.0639026165008545
10,0.8280802965164185,0.9998974204063416,0.999846339225769,0.7894200682640076,0.8613986968994141,0.8030421733856201,0.8222222328186035,0.897826075553894,0.8384615182876587,0.8661458492279053,0.8661458492279053,0.10729166865348816,0.7260307669639587,0.29367369413375854,1.0197043418884277,0.7366258502006531,0.2994828522205353,1.0361084938049316
11,0.8628711104393005,1.0,1.0,0.8891088962554932,0.9021736979484558,0.8210368156433105,0.8888888955116272,0.9206521511077881,0.8648351430892944,0.8927083611488342,0.8927083611488342,0.12031249701976776,0.706250011920929,0.2754690945148468,0.9817189574241638,0.6452487111091614,0.28215092420578003,0.9273995757102966
